addr,port,proto,num_timestamps,mean_timestamps,median_timestamps,country
31.13.72.12,443.0,tcp,112.0,805582.0,1718.0,Ireland
110.185.108.38,443.0,tcp,30.0,261192.0,14432.0,China
151.101.2.202,443.0,tcp,44.0,896690.0,38881.0,United States
3.230.217.128,443.0,tcp,9.0,40254.0,8594.0,United States
74.125.205.148,443.0,tcp,11.0,292558.0,170182.0,United States
13.107.5.88,443.0,tcp,20.0,14438.0,519.0,United States
195.161.114.3,80.0,tcp,5.0,353425.0,307125.0,Russia
92.118.151.9,443.0,tcp,263.0,1873.0,4.0,Bulgaria
